agemos,L,M,S,P1,P3,P5,P15,P25,P50,P75,P85,P95,P97,P99
0,1,49.1477,0.03790,1.8627,44.8,45.6,46.1,47.2,47.9,49.1,50.4,51.1,52.2,52.7,53.5
1,1,53.6872,0.03640,1.9542,49.1,50.0,50.5,51.7,52.4,53.7,55.0,55.7,56.9,57.4,58.2
2,1,57.0673,0.03568,2.0362,52.3,53.2,53.7,55.0,55.7,57.1,58.4,59.2,60.4,60.9,61.8
3,1,59.8029,0.03520,2.1051,54.9,55.8,56.3,57.6,58.4,59.8,61.2,62.0,63.3,63.8,64.7
4,1,62.0899,0.03486,2.1645,57.1,58.0,58.5,59.8,60.6,62.1,63.5,64.3,65.7,66.2,67.1
5,1,64.0301,0.03463,2.2174,58.9,59.9,60.4,61.7,62.5,64.0,65.5,66.3,67.7,68.2,69.2
6,1,65.7311,0.03448,2.2664,60.5,61.5,62.0,63.4,64.2,65.7,67.3,68.1,69.5,70.0,71.0
7,1,67.2873,0.03441,2.3154,61.9,62.9,63.5,64.9,65.7,67.3,68.8,69.7,71.1,71.6,72.7
8,1,68.7498,0.03440,2.3650,63.2,64.3,64.9,66.3,67.2,68.7,70.3,71.2,72.6,73.2,74.3
9,1,70.1435,0.03444,2.4157,64.5,65.6,66.2,67.6,68.5,70.1,71.8,72.6,74.1,74.7,75.8
10,1,71.4818,0.03452,2.4676,65.7,66.8,67.4,68.9,69.8,71.5,73.1,74.0,75.5,76.1,77.2
11,1,72.7710,0.03464,2.5208,66.9,68.0,68.6,70.2,71.1,72.8,74.5,75.4,76.9,77.5,78.6
12,1,74.0150,0.03479,2.5750,68.0,69.2,69.8,71.3,72.3,74.0,75.8,76.7,78.3,78.9,80.0
13,1,75.2176,0.03496,2.6296,69.1,70.3,70.9,72.5,73.4,75.2,77.0,77.9,79.5,80.2,81.3
14,1,76.3817,0.03514,2.6841,70.1,71.3,72.0,73.6,74.6,76.4,78.2,79.2,80.8,81.4,82.6
15,1,77.5099,0.03534,2.7392,71.1,72.4,73.0,74.7,75.7,77.5,79.4,80.3,82.0,82.7,83.9
16,1,78.6055,0.03555,2.7944,72.1,73.3,74.0,75.7,76.7,78.6,80.5,81.5,83.2,83.9,85.1
17,1,79.6710,0.03576,2.8490,73.0,74.3,75.0,76.7,77.7,79.7,81.6,82.6,84.4,85.0,86.3
18,1,80.7079,0.03598,2.9039,74.0,75.2,75.9,77.7,78.7,80.7,82.7,83.7,85.5,86.2,87.5
19,1,81.7182,0.03620,2.9582,74.8,76.2,76.9,78.7,79.7,81.7,83.7,84.8,86.6,87.3,88.6
20,1,82.7036,0.03643,3.0129,75.7,77.0,77.7,79.6,80.7,82.7,84.7,85.8,87.7,88.4,89.7
21,1,83.6654,0.03666,3.0672,76.5,77.9,78.6,80.5,81.6,83.7,85.7,86.8,88.7,89.4,90.8
22,1,84.6040,0.03688,3.1202,77.3,78.7,79.5,81.4,82.5,84.6,86.7,87.8,89.7,90.5,91.9
23,1,85.5202,0.03711,3.1737,78.1,79.6,80.3,82.2,83.4,85.5,87.7,88.8,90.7,91.5,92.9
24,1,85.7153,0.03764,3.2267,78.2,79.6,80.4,82.4,83.5,85.7,87.9,89.1,91.0,91.8,93.2
25,1,86.5904,0.03786,3.2783,79.0,80.4,81.2,83.2,84.4,86.6,88.8,90.0,92.0,92.8,94.2
26,1,87.4462,0.03808,3.3300,79.7,81.2,82.0,84.0,85.2,87.4,89.7,90.9,92.9,93.7,95.2
27,1,88.2830,0.03830,3.3812,80.4,81.9,82.7,84.8,86.0,88.3,90.6,91.8,93.8,94.6,96.1
28,1,89.1004,0.03851,3.4313,81.1,82.6,83.5,85.5,86.8,89.1,91.4,92.7,94.7,95.6,97.1
29,1,89.8991,0.03872,3.4809,81.8,83.4,84.2,86.3,87.6,89.9,92.2,93.5,95.6,96.4,98.0
30,1,90.6797,0.03893,3.5302,82.5,84.0,84.9,87.0,88.3,90.7,93.1,94.3,96.5,97.3,98.9
31,1,91.4430,0.03913,3.5782,83.1,84.7,85.6,87.7,89.0,91.4,93.9,95.2,97.3,98.2,99.8
32,1,92.1906,0.03933,3.6259,83.8,85.4,86.2,88.4,89.7,92.2,94.6,95.9,98.2,99.0,100.6
33,1,92.9239,0.03952,3.6724,84.4,86.0,86.9,89.1,90.4,92.9,95.4,96.7,99.0,99.8,101.5
34,1,93.6444,0.03971,3.7186,85.0,86.7,87.5,89.8,91.1,93.6,96.2,97.5,99.8,100.6,102.3
35,1,94.3533,0.03989,3.7638,85.6,87.3,88.2,90.5,91.8,94.4,96.9,98.3,100.5,101.4,103.1
36,1,95.0515,0.04006,3.8078,86.2,87.9,88.8,91.1,92.5,95.1,97.6,99.0,101.3,102.2,103.9
37,1,95.7399,0.04024,3.8526,86.8,88.5,89.4,91.7,93.1,95.7,98.3,99.7,102.1,103.0,104.7
38,1,96.4187,0.04041,3.8963,87.4,89.1,90.0,92.4,93.8,96.4,99.0,100.5,102.8,103.7,105.5
39,1,97.0885,0.04057,3.9389,87.9,89.7,90.6,93.0,94.4,97.1,99.7,101.2,103.6,104.5,106.3
40,1,97.7493,0.04073,3.9813,88.5,90.3,91.2,93.6,95.1,97.7,100.4,101.9,104.3,105.2,107.0
41,1,98.4015,0.04089,4.0236,89.0,90.8,91.8,94.2,95.7,98.4,101.1,102.6,105.0,106.0,107.8
42,1,99.0448,0.04105,4.0658,89.6,91.4,92.4,94.8,96.3,99.0,101.8,103.3,105.7,106.7,108.5
